,correct_sentence,wrong_sentence
1851,저들은 가난했길래 저들은 새것에 대해서 폐쇄적이지 않았다.,저들은가난했길래저들은새것에대해서폐쇄적이지않았다.
1852,내가 영이가 예쁘다.,내가영이가예쁘다.
1853,김 씨가 술에 취했다.,김씨가술에취했다.
1854,김 씨가 술에를 취했다.,김씨가술에를취했다.
1855,다른 의견은 도무지 비현실적이다.,다른의견은도무지비현실적이다.
1856,다른 의견은 결코 비현실적이다.,다른의견은결코비현실적이다.
1857,나는 그의 불손한 소행이 노엽다.,나는그의불손한소행이노엽다.
1858,나는 그의 사는 모습이 노엽다.,나는그의사는모습이노엽다.
1859,철수는 영희에게 빌린 책을 돌려주었다.,철수는영희에게빌린책을돌려주었다.
1860,철수는 영희를 빌린 책을 돌려주었다.,철수는영희를빌린책을돌려주었다.
1861,방 안이 연기로 자욱했다.,방안이연기로자욱했다.
1862,방 안이 자욱했다.,방안이자욱했다.
1863,토마토가 벌레가 많이 낀다.,토마토가벌레가많이낀다.
1864,철수가 서울에 오래 가 없다.,철수가서울에오래가없다.
1865,어디서 누가 무엇을 샀니?,어디서누가무엇을샀니?
1866,왜 누가 무엇을 샀니?,왜누가무엇을샀니?
1867,"음식은 식탁에 충분히 있는데, 손님이 문제구나.","음식은식탁에충분히있는데,손님이문제구나."
1868,"음식은 식탁에 충분히 있은데, 손님이 문제구나.","음식은식탁에충분히있은데,손님이문제구나."
1869,적군이 도시를 파괴하였다.,적군이도시를파괴하였다.
1870,적군이 도시를 파괴되었다.,적군이도시를파괴되었다.
1871,어서 학교에 가았거라.,어서학교에가았거라.
1872,그는 돈을 꾸어 갔다.,그는돈을꾸어갔다.
1873,그는 돈을 꾸고 갔다.,그는돈을꾸고갔다.
1874,차가 떠났잖아?,차가떠났잖아?
1875,차가 떠났지 않아?,차가떠났지않아?
1876,아우가 삼국지를 읽는다.,아우가삼국지를읽는다.
1877,아우가 삼국지로 읽는다.,아우가삼국지로읽는다.
1878,1945년에 우리는 식민지 역사에 완전히 종지부를 찍었다.,1945년에우리는식민지역사에완전히종지부를찍었다.
1879,1945년에 우리는 식민지 역사에 종지부를 완전히 찍었다.,1945년에우리는식민지역사에종지부를완전히찍었다.
1880,아이가 서로 싸웠다.,아이가서로싸웠다.
1881,무슨 소리야! 현금을 받아야 물건을 주겠어.,무슨소리야!현금을받아야물건을주겠어.
1882,무슨 소리야! 현금을 받거든 물건을 주겠어.,무슨소리야!현금을받거든물건을주겠어.
1883,나는 아직도 그를 친구로 알고 있다.,나는아직도그를친구로알고있다.
1884,나는 아직도 그를 친구로 모르고 있다.,나는아직도그를친구로모르고있다.
1885,순이를 좋아하여라.,순이를좋아하여라.
1886,순이가 좋아라.,순이가좋아라.
1887,영희가 왼쪽 콧구멍이 크다.,영희가왼쪽콧구멍이크다.
1888,영희가 예쁜 코가 높다.,영희가예쁜코가높다.
1889,철수는 아이들을 세 명을 아무도 초대하지 않았다.,철수는아이들을세명을아무도초대하지않았다.
1890,철수는 아이들을 아무도 세 명을 초대하지 않았다.,철수는아이들을아무도세명을초대하지않았다.
1891,문장은 문장과 문장이 결합함으로써 확장된다.,문장은문장과문장이결합함으로써확장된다.
1892,문장은 문장과 문장이 결합하기로써 확장된다.,문장은문장과문장이결합하기로써확장된다.
1893,우리는 밖에 나가 먹었다.,우리는밖에나가먹었다.
1894,우리는 밖에 나가고 먹었다.,우리는밖에나가고먹었다.
1895,그는 물건을 먹고 고쳤다.,그는물건을먹고고쳤다.
1896,그는 물건을 먹어 고쳤다.,그는물건을먹어고쳤다.
1897,만이는 도무지 태도가 불성실하다.,만이는도무지태도가불성실하다.
1898,만이는 조금도 태도가 불성실하다.,만이는조금도태도가불성실하다.
1899,철이가 떠나를 버렸다.,철이가떠나를버렸다.
1900,"철이가 버렸다, 떠나를.","철이가버렸다,떠나를."
1901,좀 책을 읽어라.,좀책을읽어라.
1902,조금 책을 읽어라.,조금책을읽어라.
1903,나는 나무를 잡고 올라가기 전에 튼튼한지 시험해 보았다.,나는나무를잡고올라가기전에튼튼한지시험해보았다.
1904,어제 먹은 밥이 아직 소화가 안 된다.,어제먹은밥이아직소화가안된다.
1905,어제 먹었던 밥이 아직 소화가 안 된다.,어제먹었던밥이아직소화가안된다.
1906,철수가 국사를 열심히 공부를 했다.,철수가국사를열심히공부를했다.
1907,철수가 국사를 공부를 열심히 했다.,철수가국사를공부를열심히했다.
1908,가족을 이룩하는 부부는 성생활을 독점하므로 동거하는 것을 원칙으로 한다.,가족을이룩하는부부는성생활을독점하므로동거하는것을원칙으로한다.
1909,가족을 이룩하는 부부는 성생활을 독점해서 동거하는 것을 원칙으로 한다.,가족을이룩하는부부는성생활을독점해서동거하는것을원칙으로한다.
1910,선생님이 철수를 만나 보셨다.,선생님이철수를만나보셨다.
1911,선생님이 철수를 만나셔보았다.,선생님이철수를만나셔보았다.
1912,나는 그를 노엽게 여긴다.,나는그를노엽게여긴다.
1913,나는 그를 노엽다고 여긴다.,나는그를노엽다고여긴다.
1914,철수는 학생이어서 야단맞지 않았다.,철수는학생이어서야단맞지않았다.
1915,철수는 학생이어 야단맞지 않았다.,철수는학생이어야단맞지않았다.
1916,산이 높고 푸르다.,산이높고푸르다.
1917,산이 높고서 푸르다.,산이높고서푸르다.
1918,찾아가 봐야 소용 없는 짓이다.,찾아가봐야소용없는짓이다.
1919,찾아가 보면 소용 없는 짓이다.,찾아가보면소용없는짓이다.
1920,김 씨는 이 씨를 고마워한다.,김씨는이씨를고마워한다.
1921,영희가 의자에 앉아 공부했다.,영희가의자에앉아공부했다.
1922,영희가 의자에 앉고 공부했다.,영희가의자에앉고공부했다.
1923,할아버지께서는 친히 집에 계신다.,할아버지께서는친히집에계신다.
1924,할아버지께서는 친히 인자하시다.,할아버지께서는친히인자하시다.
1925,그는 대전을 거쳐 갔다.,그는대전을거쳐갔다.
1926,그는 대전을 거치고 갔다.,그는대전을거치고갔다.
1927,확실히 너였구나.,확실히너였구나.
1928,아마도 너였구나.,아마도너였구나.
1929,하루에 한 알씩 먹어야 한다.,하루에한알씩먹어야한다.
1930,하루에 한 알씩 먹으면 한다.,하루에한알씩먹으면한다.
1931,일본어는 한국인이 배우기가 쉽다.,일본어는한국인이배우기가쉽다.
1932,일본어는 한국인이 배움이 쉽다.,일본어는한국인이배움이쉽다.
1933,철수는 영희가 아무것도 먹지 않았다고 말했다.,철수는영희가아무것도먹지않았다고말했다.
1934,철수는 영희가 아무것도 먹었다고 말하지 않았다.,철수는영희가아무것도먹었다고말하지않았다.
1935,지금 내가 만지고 있는 이것은 고려청자이다.,지금내가만지고있는이것은고려청자이다.
1936,지금 내가 만지고 있는 이는 고려청자이다.,지금내가만지고있는이는고려청자이다.
1937,남호가 채소를 가꾸고 남호가 점심을 먹었다.,남호가채소를가꾸고남호가점심을먹었다.
1938,남호가 채소를 점심을 가꾸고 먹었다.,남호가채소를점심을가꾸고먹었다.
1939,만일 내일 비가 오면 행사는 연기됩니다.,만일내일비가오면행사는연기됩니다.
1940,만일 내일 비가 와야 행사는 연기됩니다.,만일내일비가와야행사는연기됩니다.
1941,손님이 의자에를 앉는다.,손님이의자에를앉는다.
1942,철수와 영수가 서로 가깝다.,철수와영수가서로가깝다.
1943,철수와 영수가 서로 게으르다.,철수와영수가서로게으르다.
1944,그는 아무도 믿지 않는다.,그는아무도믿지않는다.
1945,그는 아무도 믿는다.,그는아무도믿는다.
1946,겨우 1000원이나마 벌었네.,겨우1000원이나마벌었네.
1947,고작 1000원이나마 벌었네.,고작1000원이나마벌었네.
1948,나는 학교에 갔으면 했다.,나는학교에갔으면했다.
1949,나는 학교에 갔으면 이랬다.,나는학교에갔으면이랬다.
1950,나는 그와 같은 행동을 비열하다고 간주한다.,나는그와같은행동을비열하다고간주한다.
1951,그는 안 선생을 설득했지만 여의치 못했다.,그는안선생을설득했지만여의치못했다.
1952,그는 안 선생을 설득해 냈지만 여의치 못했다.,그는안선생을설득해냈지만여의치못했다.
1953,철수는 영희에게 문을 열어 주었다.,철수는영희에게문을열어주었다.
1954,철수는 영희에게 문을 열었다.,철수는영희에게문을열었다.
1955,저기 오는 분이 박 선생님 같지 않니?,저기오는분이박선생님같지않니?
1956,저기 오는 분이 박 선생님이 같지 않니?,저기오는분이박선생님이같지않니?
1957,철수는 영희가 똑똑하다고 생각한다.,철수는영희가똑똑하다고생각한다.
1958,철수는 영희가 똑똑하기를 생각한다.,철수는영희가똑똑하기를생각한다.
1959,그 액수가 너무 적은지 고개를 갸웃거린다.,그액수가너무적은지고개를갸웃거린다.
1960,그 액수가 너무 적는지 고개를 갸웃거린다.,그액수가너무적는지고개를갸웃거린다.
1961,모두가 전혀 이 일에 무관심하다.,모두가전혀이일에무관심하다.
1962,모두가 결코 이 일에 무관심하다.,모두가결코이일에무관심하다.
1963,철수가 서울에서 살고 있다.,철수가서울에서살고있다.
1964,철수가 서울에서 살아 있다.,철수가서울에서살아있다.
1965,"뛰어라, 그것은 건강에 좋다.","뛰어라,그것은건강에좋다."
1966,"뛰어라, 그것은 건강에 좋습니다.","뛰어라,그것은건강에좋습니다."
1967,집이 불탔다.,집이불탔다.
1968,집이 불을 탔다.,집이불을탔다.
1969,내년에 쌀시장이 개방되더라.,내년에쌀시장이개방되더라.
1970,내년에 쌀시장이 개방되었다.,내년에쌀시장이개방되었다.
1971,철수가 학교에서 점심을 먹고 있다.,철수가학교에서점심을먹고있다.
1972,철수가 학교에 점심을 먹고 있다.,철수가학교에점심을먹고있다.
1973,열심히 노력한 결과로 잘 살았다.,열심히노력한결과로잘살았다.
1974,열심히 노력한 결과로 잘 살아졌다.,열심히노력한결과로잘살아졌다.
1975,겨울이 지나고 봄이 되면 꽃이 피기 마련이다.,겨울이지나고봄이되면꽃이피기마련이다.
1976,겨울이 지나고 봄이 되면 꽃이 핌이 마련이다.,겨울이지나고봄이되면꽃이핌이마련이다.
1977,그는 아직 미국에 있다.,그는아직미국에있다.
1978,그는 아직 미국에 갔다.,그는아직미국에갔다.
1979,미군이 제2 지역으로 이동한다.,미군이제2지역으로이동한다.
1980,미군이 제2 지역에 이동한다.,미군이제2지역에이동한다.
1981,두 명의 여학생이 찾아왔다.,두명의여학생이찾아왔다.
1982,두 명 여학생이 찾아왔다.,두명여학생이찾아왔다.
1983,"다음에, 지금 내가 그 책을 읽음세.","다음에,지금내가그책을읽음세."
1984,어제 내가 그 책을 읽음세.,어제내가그책을읽음세.
1985,그가 경찰에 구속되었다.,그가경찰에구속되었다.
1986,그가 경찰에 구속받았다.,그가경찰에구속받았다.
1987,그 일을 맡은 사람이 철수였어도 그렇게 하지는 못 했을거야. ,그일을맡은사람이철수였어도그렇게하지는못했을거야.
1988,그 일을 맡은 사람이 철수여도 그렇게 하지는 못 했을거야. ,그일을맡은사람이철수여도그렇게하지는못했을거야.
1989,내가 갔으면 그 사람이 마중 나왔지.,내가갔으면그사람이마중나왔지.
1990,내가 갔으면 그 사람이 마중 나올 것이다.,내가갔으면그사람이마중나올것이다.
1991,선생님이 걱정거리가 있으시다.,선생님이걱정거리가있으시다.
1992,선생님께 걱정거리가 계시다.,선생님께걱정거리가계시다.
1993,창수는 귀국하면서야 아내에게 줄 선물을 생각했다.,창수는귀국하면서야아내에게줄선물을생각했다.
1994,사무실에 가고 싶었다.,사무실에가고싶었다.
1995,사무실에 갔고 싶었다.,사무실에갔고싶었다.
1996,할아버지께서는 몸소 짐을 드신다.,할아버지께서는몸소짐을드신다.
1997,할아버지께서는 몸소 인자하시다.,할아버지께서는몸소인자하시다.
1998,사람이 선생님밖에 아무도들 지금 없어.,사람이선생님밖에아무도들지금없어.
1999,사람이 선생님밖에들 아무도 지금 없어.,사람이선생님밖에들아무도지금없어.
2000,그 사건 때문에 새로운 국면이 전개되고 있음을 발견하였다.,그사건때문에새로운국면이전개되고있음을발견하였다.
2001,그는 여기에서 고생을 겪고 갔다.,그는여기에서고생을겪고갔다.
2002,그는 여기에서 고생을 겪어 갔다.,그는여기에서고생을겪어갔다.
2003,네가 아주 좋아할지 모르겠어.,네가아주좋아할지모르겠어.
2004,네가 퍽 좋아할지 모르겠어.,네가퍽좋아할지모르겠어.
2005,영이가 믿음직한 학생이다.,영이가믿음직한학생이다.
2006,영이가 안 ((믿음직한 학생))이다.,영이가안((믿음직한학생))이다.
2007,그것이 무엇이람?,그것이무엇이람?
2008,그것이 무엇이었으람?,그것이무엇이었으람?
2009,자기의 실패로 인아는 늘 부끄러웠다.,자기의실패로인아는늘부끄러웠다.
2010,자기는 인아의 실패로 늘 부끄러웠다.,자기는인아의실패로늘부끄러웠다.
2011,나는 그 글을 안 읽어 보았다.,나는그글을안읽어보았다.
2012,나는 그 글을 읽어 안 보았다.,나는그글을읽어안보았다.
2013,내 친구는 자기의 집을 팔아서 땅을 샀다.,내친구는자기의집을팔아서땅을샀다.
2014,자기는 내 친구의 집을 팔아서 땅을 샀다.,자기는내친구의집을팔아서땅을샀다.
2015,"철수가 집에 있는다고 하자, 영이도 그러겠다고 했다.","철수가집에있는다고하자,영이도그러겠다고했다."
2016,이렇게 나가다간 한국 경제가 몰락할 가능성이 있다.,이렇게나가다간한국경제가몰락할가능성이있다.
2017,이렇게 나가다간 한국 경제가 몰락할 가능성이 있는다.,이렇게나가다간한국경제가몰락할가능성이있는다.
2018,영 기쁘지 않아.,영기쁘지않아.
2019,영 기뻐.,영기뻐.
2020,동생이 사춘기로 들어서면서 우리 집은 하루도 조용한 날이 없었다.,동생이사춘기로들어서면서우리집은하루도조용한날이없었다.
2021,동생이 들어서면서 우리 집은 하루도 조용한 날이 없었다.,동생이들어서면서우리집은하루도조용한날이없었다.
2022,복순이는 서울에 가려는 것을 포기하였다.,복순이는서울에가려는것을포기하였다.
2023,복순이는 서울에 간 것을 포기하였다.,복순이는서울에간것을포기하였다.
2024,"호랑이는 동굴의 어둠을, 쑥과 마늘의 역겨운 음식을 내지 못한다.","호랑이는동굴의어둠을,쑥과마늘의역겨운음식을내지못한다."
2025,그는 담배를 피우고 있다. 그러나 몇 년 동안 담배를 피우지 않았다.,그는담배를피우고있다.그러나몇년동안담배를피우지않았다.
2026,참말로 결혼했니?,참말로결혼했니?
2027,참말 결혼했니?,참말결혼했니?
2028,철수가 책상을 흔들흔들한다.,철수가책상을흔들흔들한다.
2029,철수가 책상을 흔들흔들 안 한다.,철수가책상을흔들흔들안한다.
2030,철이는 국어학을 전공했거나 역사학을 전공했다.,철이는국어학을전공했거나역사학을전공했다.
2031,작년에 철이는 국어학을 전공하거나 역사학을 전공했다.,작년에철이는국어학을전공하거나역사학을전공했다.
2032,창수는 이 사실을 잘 알았다.,창수는이사실을잘알았다.
2033,적군이 서울을 파괴했다.,적군이서울을파괴했다.
2034,서울을 파괴 적군이 했다.,서울을파괴적군이했다.
2035,김 씨는 이 씨를 부러워한다.,김씨는이씨를부러워한다.
2036,김 씨는 이 씨한테 부러워한다.,김씨는이씨한테부러워한다.
2037,철수가 순이를 얼굴을 그렸다.,철수가순이를얼굴을그렸다.
2038,순이가 철수에 의해 얼굴을 그려졌다.,순이가철수에의해얼굴을그려졌다.
2039,순이가 몸살 앓는다.,순이가몸살앓는다.
2040,순이가 몸살로를 앓는다.,순이가몸살로를앓는다.
2041,철수가 내일 영이를 만나자고 말도 안되는 제안을 했다.,철수가내일영이를만나자고말도안되는제안을했다.
2042,철수가 내일 영이를 만날 것을 말도 안되는 제안을 했다.,철수가내일영이를만날것을말도안되는제안을했다.
2043,얼음이 녹여져 있다.,얼음이녹여져있다.
2044,철수가 얼음을 녹이어 있다.,철수가얼음을녹이어있다.
2045,영수가 공을 쫓고 있다.,영수가공을쫓고있다.
2046,공이 영수에게 쫓기고 있다.,공이영수에게쫓기고있다.
2047,언니 그 책을 읽는다.,언니그책을읽는다.
2048,그 책을 언니 읽는다.,그책을언니읽는다.
2049,그때 내가 숙제를 하고 있었으면 어머님께서 틀림없이 칭찬해 주셨을텐데.,그때내가숙제를하고있었으면어머님께서틀림없이칭찬해주셨을텐데.
2050,그때 내가 숙제를 하고 있으면 어머님께서 틀림없이 칭찬해 주셨을 텐데.,그때내가숙제를하고있으면어머님께서틀림없이칭찬해주셨을텐데.
2051,철수가 아들이 눈이 크다.,철수가아들이눈이크다.
2052,철수가 개가 눈이 크다.,철수가개가눈이크다.
2053,"순이가 매우 예쁘다, 그리고 순이가 매우 착하다.","순이가매우예쁘다,그리고순이가매우착하다."
2054,아버지가 철수를 부르실지도 모른다.,아버지가철수를부르실지도모른다.
2055,아버지가 철수를 부를지도 모르신다.,아버지가철수를부를지도모르신다.
2056,나는 도통 문제들이 어렵다.,나는도통문제들이어렵다.
2057,나는 결코 문제들이 어렵다.,나는결코문제들이어렵다.
2058,철수가 집에 한가히 있다.,철수가집에한가히있다.
2059,철수가 한가히 예쁘다.,철수가한가히예쁘다.
2060,동생이 그 물고기를 잡는감?,동생이그물고기를잡는감?
2061,동생이 그 물고기를 잡은감?,동생이그물고기를잡은감?
2062,그 의사가 죽어 가는 환자를 살려 놓았다.,그의사가죽어가는환자를살려놓았다.
2063,그 의사가 죽어 가는 환자를 살려 두었다.,그의사가죽어가는환자를살려두었다.
2064,민우는 민우의 가족들에게는 늘 수치스러웠다.,민우는민우의가족들에게는늘수치스러웠다.
2065,민우는 자기의 가족들에게는 늘 수치스러웠다.,민우는자기의가족들에게는늘수치스러웠다.
2066,철수가 화장실에 죽었다.,철수가화장실에죽었다.
2067,철수는 상을 받게 되어 기쁘기가 짝이 없다.,철수는상을받게되어기쁘기가짝이없다.
2068,철수는 상을 받게 되어 기쁨이 짝이 없다.,철수는상을받게되어기쁨이짝이없다.
2069,해가 뜬다.,해가뜬다.
2070,해를 뜬다.,해를뜬다.
2071,그녀는 아이를 낳고 갔다.,그녀는아이를낳고갔다.
2072,그녀는 아이를 낳아 갔다.,그녀는아이를낳아갔다.
2073,우리는 길을 넓히고 갔다.,우리는길을넓히고갔다.
2074,우리는 길을 넓히어 갔다.,우리는길을넓히어갔다.
2075,그는 창문을 깨고 갔다.,그는창문을깨고갔다.
2076,그는 창문을 깨어 갔다.,그는창문을깨어갔다.
2077,철수가 간답니다.,철수가간답니다.
2078,철수가 가냡니다.,철수가가냡니다.
2079,절대로 철수는 밥을 안 먹는다.,절대로철수는밥을안먹는다.
2080,절대로 철수는 밥을 먹는다.,절대로철수는밥을먹는다.
2081,비가 오니 소풍은 다 갔다.,비가오니소풍은다갔다.
2082,몰래 음식을 먹기가 어렵다.,몰래음식을먹기가어렵다.
2083,몰래 음식이 먹기가 어렵다.,몰래음식이먹기가어렵다.
2084,그 친구도 그럭저럭 자기 일을 꾸려 나갑니다.,그친구도그럭저럭자기일을꾸려나갑니다.
2085,그 친구도 이럭저럭 자기 일을 꾸려 나갑니다.,그친구도이럭저럭자기일을꾸려나갑니다.
2086,철수가 영이에게 고의적으로 맞았다.,철수가영이에게고의적으로맞았다.
2087,그는 물건을 기울이고 갔다.,그는물건을기울이고갔다.
2088,그는 물건을 기울여 갔다.,그는물건을기울여갔다.
2089,고양이는 쥐를 좋아한다.,고양이는쥐를좋아한다.
2090,고양이는 쥐 좋아한다.,고양이는쥐좋아한다.
2091,말할 기력조차 없다.,말할기력조차없다.
2092,말할 기력조차 있다.,말할기력조차있다.
2093,10시가 조금 지난 이 시각에 벌써 청중이 모여들 리는 없는 것이다.,10시가조금지난이시각에벌써청중이모여들리는없는것이다.
2094,영호는 학교에서 일을 다 마치고 영호는 집으로 돌아왔다.,영호는학교에서일을다마치고영호는집으로돌아왔다.
2095,영호는 학교에서 일을 다 마치고 자기는 집으로 돌아왔다.,영호는학교에서일을다마치고자기는집으로돌아왔다.
2096,나는 그가 꾸준히 공부함이 대견스럽다.,나는그가꾸준히공부함이대견스럽다.
2097,나는 그가 꾸준히 공부하기가 대견스럽다.,나는그가꾸준히공부하기가대견스럽다.
2098,철수가 집에 있다. 그리고 영이도 그렇다.,철수가집에있다.그리고영이도그렇다.
2099,철수가 집에 있다. 그리고 영이도 그러다.,철수가집에있다.그리고영이도그러다.
2100,"너무 많이 먹어서만 아픈 것이 아니고, 다른 이유가 있어.","너무많이먹어서만아픈것이아니고,다른이유가있어."
2101,"너무 많이 먹어만 아픈 것이 아니고, 다른 이유가 있어.","너무많이먹어만아픈것이아니고,다른이유가있어."
2102,영기는 하루도 집에 붙어 있지 않다.,영기는하루도집에붙어있지않다.
2103,철수가 영희를 사랑했음이 확실하다.,철수가영희를사랑했음이확실하다.
2104,철수가 영희를 사랑했기가 확실하다.,철수가영희를사랑했기가확실하다.
2105,철수는 방문을 닫고 들어왔다.,철수는방문을닫고들어왔다.
2106,철수가 방문을 오고 닫았다.,철수가방문을오고닫았다.
2107,"김영수 씨, 먼저 대답하시겠습니까?","김영수씨,먼저대답하시겠습니까?"
2108,"김 씨, 먼저 대답하시겠습니까?","김씨,먼저대답하시겠습니까?"
2109,철수가 집에 가라. 또는 순이가 집에 가라.,철수가집에가라.또는순이가집에가라.
2110,철수가 집에 가라. 또는 순이가 집에 간다.,철수가집에가라.또는순이가집에간다.
2111,질문이 없으신 분은 가도 됩니다.,질문이없으신분은가도됩니다.
2112,질문이 없으시는 분은 가도 됩니다.,질문이없으시는분은가도됩니다.
2113,철수는 정신병원에 영수를 보내 주었다.,철수는정신병원에영수를보내주었다.
2114,철수는 영희에게 정신병원에 영수를 보내 주었다.,철수는영희에게정신병원에영수를보내주었다.
2115,고래는 음식을 바닷속에 가라앉아 먹는다.,고래는음식을바닷속에가라앉아먹는다.
2116,고래는 음식을 바닷속에 가라앉고 먹는다.,고래는음식을바닷속에가라앉고먹는다.
2117,아무것도 나는 영희가 알지 못한다고 생각한다.,아무것도나는영희가알지못한다고생각한다.
2118,아무것도 나는 영희가 안다고 생각하지 않는다.,아무것도나는영희가안다고생각하지않는다.
2119,그는 세 사람이 다섯 사람이라고 말했다.,그는세사람이다섯사람이라고말했다.
2120,철이는 소설책을 읽었지만 돌이는 영화를 보았다.,철이는소설책을읽었지만돌이는영화를보았다.
2121,어제 철이는 소설책을 읽지만 돌이는 영화를 보았다.,어제철이는소설책을읽지만돌이는영화를보았다.
2122,철수가 우리 집에서 놀고 갔다.,철수가우리집에서놀고갔다.
2123,철수가 우리 집에서 놀아 갔다.,철수가우리집에서놀아갔다.
2124,순이가 영수가 아무것도 먹지 않았다고 생각했다.,순이가영수가아무것도먹지않았다고생각했다.
2125,순이가 영수가 아무것도 먹었다고 생각하지 않았다.,순이가영수가아무것도먹었다고생각하지않았다.
2126,지금 집에 어른들은 엄마밖에는 아무도 안 계셔요.,지금집에어른들은엄마밖에는아무도안계셔요.
2127,지금 집에 어른들은 엄마밖에는 아무도 없어요.,지금집에어른들은엄마밖에는아무도없어요.
2128,혹시 갑자기 그가 와서 물으면 내가 없다고 대답해.,혹시갑자기그가와서물으면내가없다고대답해.
2129,아마 갑자기 그가 와서 물으면 내가 없다고 대답해.,아마갑자기그가와서물으면내가없다고대답해.
2130,그 산이 얼마나 높은가?,그산이얼마나높은가?
2131,그 산이 얼마나 높는가?,그산이얼마나높는가?
2132,너도 그렇게 생각하니?,너도그렇게생각하니?
2133,안된 사람이 아무도 없다.,안된사람이아무도없다.
2134,안된 사람이 아무도 있다.,안된사람이아무도있다.
2135,아빠가 장원이를 도와 주었을지도 모른다.,아빠가장원이를도와주었을지도모른다.
2136,아빠가 장원이를 도울지도 몰라 주었다.,아빠가장원이를도울지도몰라주었다.
2137,형이 크나 아우가 작다.,형이크나아우가작다.
2138,아우가 형이 크나 작다.,아우가형이크나작다.
2139,이 샘은 절대 마르지 않는다.,이샘은절대마르지않는다.
2140,이 샘은 절대 마른다.,이샘은절대마른다.
2141,철수는 이제도 공부하고 있다.,철수는이제도공부하고있다.
2142,노인들밖에 이곳을 안 찾는다.,노인들밖에이곳을안찾는다.
2143,노인들밖에 이곳을 찾는다.,노인들밖에이곳을찾는다.
2144,철수는 불을 꺼 주었다.,철수는불을꺼주었다.
2145,우리 학급을 위해 더욱 모이기에 힘씁시다.,우리학급을위해더욱모이기에힘씁시다.
2146,우리 학급을 위해 더욱 모임에 힘씁시다.,우리학급을위해더욱모임에힘씁시다.
2147,철수가 편지를 쓰지 않지는 않았다.,철수가편지를쓰지않지는않았다.
2148,철수가 편지를 썼지는 않니?,철수가편지를썼지는않니?
2149,너무 시끄러워.,너무시끄러워.
2150,하도 시끄러워.,하도시끄러워.
2151,겨우 훈장질밖에 못하고 있습니다.,겨우훈장질밖에못하고있습니다.
2152,겨우 훈장질도 못하고 있습니다.,겨우훈장질도못하고있습니다.
2153,밤낮으로 읽은 보람 때문에 그냥저냥 읽어진다.,밤낮으로읽은보람때문에그냥저냥읽어진다.
2154,밤낮으로 읽은 보람 때문에 그냥저냥 읽어졌다.,밤낮으로읽은보람때문에그냥저냥읽어졌다.
2155,물가가 올라간다고 하는 예상을 믿었다.,물가가올라간다고하는예상을믿었다.
2156,물가가 올라간다고 예상을 믿었다.,물가가올라간다고예상을믿었다.
2157,네가 그것을 했단 말이야.,네가그것을했단말이야.
2158,네가 그것을 했단다 주장이냐?,네가그것을했단다주장이냐?
2159,딸한테 잘 해 주시는 담임 선생님이 고맙게 보이는 것은 사실이다.,딸한테잘해주시는담임선생님이고맙게보이는것은사실이다.
2160,딸한테 잘 해 주시는 담임 선생님이 고마워 보이는 것은 사실이다.,딸한테잘해주시는담임선생님이고마워보이는것은사실이다.
2161,마을 제일의 갑부가 하루아침에 거지로 전락하였다.,마을제일의갑부가하루아침에거지로전락하였다.
2162,마을 제일의 갑부가 거지이다.,마을제일의갑부가거지이다.
2163,이도령이 춘향이의 동생을 붙잡았다.,이도령이춘향이의동생을붙잡았다.
2164,이도령이 춘향이를 동생을 붙잡았다.,이도령이춘향이를동생을붙잡았다.
2165,철수밖에 오지 않았다.,철수밖에오지않았다.
2166,철수밖에 왔다.,철수밖에왔다.
2167,순이가 자동차로 갔다.,순이가자동차로갔다.
2168,순이가 자동차 갔다.,순이가자동차갔다.
2169,거지들이 시가지에 돌아다녔다.,거지들이시가지에돌아다녔다.
2170,"거지들이 다녔다, 시가지에 돌아.","거지들이다녔다,시가지에돌아."
2171,아이가 장난감을 방과 마당에 흩어 놓았다.,아이가장난감을방과마당에흩어놓았다.
2172,아이가 장난감을 방 마당에 흩어 놓았다.,아이가장난감을방마당에흩어놓았다.
2173,창호는 몸이 불어나면서는 담배를 끊었다.,창호는몸이불어나면서는담배를끊었다.
2174,창호는 몸이 불어나며는 담배를 끊었다.,창호는몸이불어나며는담배를끊었다.
2175,김영수 군이 먼저 대답해 봐요.,김영수군이먼저대답해봐요.
2176,김 군이 먼저 대답해 봐요.,김군이먼저대답해봐요.
2177,철수가 집에 간다. 그리고 순이가 집에 가니?,철수가집에간다.그리고순이가집에가니?
2178,철수가 영이를 만나지는 않았다.,철수가영이를만나지는않았다.
2179,철수가 영이를 만나기는 않았다.,철수가영이를만나기는않았다.
2180,내 고향이 강릉이기에 올라오는 길에 들렀다.,내고향이강릉이기에올라오는길에들렀다.
2181,내 고향이 강릉이길래 올라오는 길에 들렀다.,내고향이강릉이길래올라오는길에들렀다.
2182,나는 김 씨가 부럽다.,나는김씨가부럽다.
2183,나는 김 씨한테 부럽다.,나는김씨한테부럽다.
2184,네가 갔더라도 철수는 못 만났을거야.,네가갔더라도철수는못만났을거야.
2185,네가 가더라도 철수는 못 만났을거야.,네가가더라도철수는못만났을거야.
2186,철수는 화가 나고 학교에 갔다.,철수는화가나고학교에갔다.
2187,저 여자는 갓 아기를 낳았다.,저여자는갓아기를낳았다.
2188,갓 저 여자는 아기를 낳았다.,갓저여자는아기를낳았다.
2189,철수는 영희의 흰 손을 잡았다.,철수는영희의흰손을잡았다.
